animal	dano	R2	arcsinR2	Sire	Dam
435	0.18062	0.81938	1.131841	556	644
436	0.13736	0.86264	1.191119	556	644
437	0.23198	0.76802	1.068268	556	644
438	0.15761	0.84239	1.162549	556	644
439	0.22638	0.77362	1.07493	556	644
440	0.192331	0.80766917	1.116806	556	644
441	0.16055	0.83945	1.15853	556	644
442	243	757	1.055319	556	644
443	0.22755	0.77245	1.073533	556	644
444	0.18467	0.81533	1.1266	556	644
445	0.19774	0.80226	1.10998	556	644
446	0.17893	0.82107	1.134041	556	644
447	0.11	0.89	1.232731	557	645
448	0.098914	0.901086	1.25086	557	645
449	0.19043	0.80957	1.119222	557	645
450	0.21448	0.78552	1.089284	557	645
451	0.19704	0.80296	1.110859	557	645
452	0.17795	0.82205	1.135321	557	645
453	0.15	0.85	1.173097	557	646
454	0.10488	0.89512	1.240998	557	646
455	0.24029	0.75971	1.058484	557	646
456	0.20787	0.79213	1.097382	557	646
457	0.1833	0.8167	1.128368	557	646
458	0.15734	0.84266	1.16292	557	646
459	0.2164	0.7836	1.086949	557	646
460	0.079669	0.920331	1.28465	557	646
461	0.16657	0.83343	1.150392	557	646
